IdColonia,IdInegi,NomColonia,Habitantes,Mujeres,Hombres,Pob0a14,Pob15a64,Pob18mas,ViviendasHabitadas,PromOcuxVivHab,Fundacion,ColinNorte,ColinSur,ColinOriente,ColinPoniente,ArroyoEntubado,ArroyoInterperie,Cerro,Barranco,CentroCultural,ParquesyJarines,JuegosInfantiles,PlazaCivica,CalleAlumbrado%,CallePavimento%,CalleAdoquin%,CalleEmpedrado%,CalleTerraceria%,VivAguaPot%,VivDrenaje%,VivFosaSep%,VivElectricidad%,RutasTransporte,OficinaCorreo,RegistroCivil,DeleAgencia,Cementerio,ModuloPoli,PatrullasColonia,PlumaIngresos,PobRelCatolica%,CP,ZonaC,Sele
124,088-G,Eucalipto Vallarta,972,509,463,175,719,758,397,3.3199999999999998,,Jardines Vallarta,La Estancia,Real Vallarta,Camichines Vallarta,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,100,100,0,0,0,98.80000305,99.09999847,0,100,"25, 629 Y Pretren Línea 2",-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,96,45020,5A,0
125,089-K,Exitmex,3958,2019,1939,1254,2604,2488,1192,3.31,Sin datos,,Haciendas del Tepeyac,Colli Sitio,,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,100,90,10,0,0,98.19999695,98.09999847,0,99.19999695,"25, 640, 51 A-B, Turquesa",-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,93,45010,5A,0
126,0,Exhacienda del Lazo,228,107,121,85,120,130,55,4.1699999999999999,,,,,,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,50,0,0,100,0,58.54000092,97.55999756,0,100,61 y 171.,-Inexistente-,-Inexistente-,"AGENCIA: Privada de las flores SN 
Agente Municipal Gilberto González Sánchez, 
Tel. celular 3311670340.",-Inexistente-,FALSO,FALSO,FALSO,0,45150,RN,0
127,090-D,"Experiencia, la",2133,1089,1039,505,1417,1513,646,4.7999999999999998,,Jardines de los Belenes,"Molino del Salvador, Víctor Hugo",Municipio de Guadalajara,"Benito Juárez, Canteros",FALSO,FALSO,FALSO,VERDADERO,-Inexistente-,FALSO,FALSO,FALSO,100,100,0,0,0,97.69999695,96.90000153,1.600000024,98.69999695,15 y 54.,-Inexistente-,-Inexistente-,"DELEGACIÓN: Luis L. Vals Nº 8, 
Tel, 36726705,
Delegado: Javier Torres Tejeda, 
Subdelegado: José de Jesús Nuño Márquez.",-Inexistente-,FALSO,FALSO,FALSO,98,45198,2B,1
128,091-I,"Flores, Las",659,350,309,141,439,493,237,4.1500000000000004,Sin datos,Camino Real,Ciudad de los niños,Jardines de San Ignacio,Camino Real,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,100,100,0,0,0,99,98.5,0,100,358 por Niño Obrero,-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,96,45040,5A,0
129,0,"Floresta del Colli, La",2738,1360,1373,1036,1649,1523,687,4.4100000000000001,,Cerro del Colli,Carlos Rivera Aceves,"12 de diciembre, El Rehilete",Noria de la Cantera,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,0,30,0,0,70,100,100,0,100,51-A y la Floresta.-A,-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,0,45068,7,0
130,092-C,"Florida, La",2229,1109,1120,765,1400,1303,560,3.6699999999999999,Sin datos,Agua Blanca Industrial,Cajetes,Municipio de Tlaquepaque,Agua Blanca Sur,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,100,5,0,90,10,92.40000153,88.30000305,9.699999809,97.69999695,619-A,-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,96,45234,8,0
131,343-D,Fortín,7072,3531,3496,2293,4647,4468,3138,3.3599999999999999,1993,Nuevo Amanecer,Puerta del Bosque,Misión La Floresta,,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,100,100,0,0,0,90.90000153,90.90000153,0,97.69999695,"1a Sección 51-D y 626.  2a sección 51-D
La 2 seccion del Fortin NO pertenece a nuestra colonia ya que originalmente se llama ""El Nuevo Amanecer"".",-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,90,45066,7,0
132,0,"Fortines, Los",0,0,0,0,0,0,0,0,Sin datos,,,El Fortìn,,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,50,0,0,0,100,0,0,0,0,51-C,-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,0,,7,0
133,344-I,"Bosques del Centinela, Fraccionamiento",2924,1467,1457,1044,1840,1693,936,3.02,Sin datos,"El Centinela, Villas del Centinela",Colinas de los Belenes,Lomas del Vergel,,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,100,100,0,0,0,97.80000305,98.40000153,1.299999952,100,637 por Parres Arias,-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,97,0,2A,0
134,345-C,"Cristal, Fraccionamiento",41,19,22,11,21,21,10,4.13,,Del Bosque,Rinconada del Iris,Rinconada Bugambilias,,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,100,10,90,0,0,100,100,0,100,Inexistente,-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,86,0,8,0
136,0,"Los Paraísos, Fraccionamiento",0,0,0,0,0,0,0,0,,Industrial Los Belenes,,Villas de los Belenes,Conjunto Zapopan,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,0,56.25,18.75,25,0,0,0,0,0,-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,0,0,1B,1
137,094-B,Francisco Sarabia,2416,1201,1193,751,1509,1541,671,3.7599999999999998,,Agrícola,Miguel de la Madrid,El Mante,Francisco Sarabia Poniente,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,100,90,0,8,2,95.09999847,94.90000153,2.299999952,96.90000153,"24, 258, 625 y 632.",-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,94,45236,8,0
138,095-G,Francisco Sarabia Poniente,306,148,158,109,189,177,52,5.88,,Paseos del Briseño,,Francisco Sarabia,La Haciendita,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,100,0,10,20,70,94.19999695,96.19999695,0,98.09999847,24 y 258.,-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,97,45236,8,0
139,096-K,Francisco Villa (antes villa de Torremolinos),5032,2563,2469,1500,3432,3187,1764,4.4699999999999998,,Rinconada las Palmas,Lomas de Zapopan,,Colinas del Rey,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,100,100,0,0,0,97.90000153,98.40000153,0.200000003,99.90000153,"15, 636 por Valdepeñas",-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,94,45130,3,0
140,0,"Fresno, El",0,0,0,0,0,0,0,0,,Jardines de Nuevo México,Terrenos de la Base Aérea,Fraccionamiento,Héroes Nacionales,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,0,0,0,0,100,100,100,0,10,- Inexistente -,-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,0,45138,4,0
141,098-L,"Fuentes, Las",2778,1506,1272,649,1874,2004,1080,4.0999999999999996,1952,"Arboledas, Paseos del Sol",Periodistas,Pinar de la Calma,Pirámides,FALSO,VERDADERO,FALSO,FALSO,-Inexistente-,VERDADERO,FALSO,VERDADERO,100,0,0,100,0,98.80000305,56.70000076,42.5,99.5,,-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,96,45070,6,0
142,0,"Garabato, El",1850,967,883,578,1247,1126,474,4.6100000000000003,1995,Jardines del Ixtépete,,El Briseño,Villas Perisur,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,100,50,0,50,0,0,0,0,0,"624, 626 y 257-D.",-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,0,45236,8,0
143,099-E,"Giralda, la",1366,734,632,604,694,718,454,3.21,,Plaza del Sol,Loma Bonita Residencial,Residencial Victoria,Ciudad del sol,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,100,100,0,0,0,99.30000305,98.59999847,0,99.80000305,"63, 24, 371, 618, 183, 186, 629, 619 A, 182",-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,96,45088,6,0
144,100-J,Girasoles,3388,1740,1648,933,2206,2258,875,4.1299999999999999,,Hacienda la Mora,Barranco,Santa Margarita,Residencial Poniente,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,100,90,0,10,0,99,98.80000305,0,99.19999695,"631, 631-A por Santa Esther y Alhelies; 19 y 19-A por Santa Margarita",-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,94,45136,4,0
145,0,Girasoles Elite,422,207,215,136,283,270,134,3.5299999999999998,En 1999,,La Casita,Residencial Santa Margarita,Girasoles Acueducto,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,100,100,0,0,0,0,0,0,0,"24,631,275 y 631-A",-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,0,45138,4,0
146,347-B,"Gloria, La",1371,642,703,488,864,789,358,3.6000000000000001,Sin datos,,Paraísos del Colli,El Chicalote,,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,100,40,0,10,50,17.89999962,38.09999847,51.40000153,94.19999695,380,-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,98,45010,5A,0
147,101-D,González Ortega,691,337,354,185,489,471,256,4.4900000000000002,,Unidad Auditorio,Lomas del Batán,"Jardines del Batán, Hogares del Batán",Lomas del Batán,FALSO,VERDADERO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,100,85,0,10,5,87.40000153,85.19999695,0,97,"78, 13, 50, 50b, 380 y Tren Ligero.",-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,VERDADERO,FALSO,VERDADERO,95,45190,1B,1
148,0,"Grana, La",0,0,0,0,0,0,0,0,Sin datos,,,,Rinconada de San Isidro,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,100,95,0,0,5,100,100,0,100,"634, 200",-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,0,45140,3,0
149,062-B,Guadalajarita (ó Club Atlas),55,29,26,10,38,42,19,3.71,,Coto Palmita,Municipio de Guiadalajara,Santa Fe,Atlas Colomos,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,100,0,0,100,0,0,0,0,0,25,-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,0,45118,1A,0
150,102-I,Guadalupe Jardín,1774,906,868,342,1341,1325,561,4.4500000000000002,,"Arcos Guadalupe, Jardines de Guadalupe",Chapalita Las Fuentes,,"Rinconada Gudadalupe, Atlas Chapalita",FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,100,90,10,0,0,97.5,97.5,0,99.59999847,640 y Vía 2 Turqueza por Av. Guadalupe,-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,93,45030,5A,0
151,0,"Guayabos, Comunidad Ecológica, Los",53,28,25,11,39,37,17,3.1200000000000001,1981,Zona boscosa,Zona boscosa,Zona boscosa,Colinas del Rio Blanco,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,0,0,0,100,0,0,0,0,0,635-A y 635-B llegan a 4 Km.,-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,0,45180,2A,0
152,103-C,Gusa,616,308,308,135,438,450,166,3.3599999999999999,,Santa Paula,Ejido de Atemajac,Lomas del Bátan,Habitacional Seattle,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,100,8,0,92,0,98.69999695,97,0,99.59999847,"15 por Av. Atemajac, 50-B por Aldama",-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,97,45170,1B,1
153,104-H,Haciendas de las Lomas,583,308,267,137,425,413,179,4.5099999999999998,Sin datos,,Jardines de la Patria,,Jardines de la Patria,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,100,100,0,0,0,75,100,0,100,- Inexistente -,-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,54,,5B,0
154,105-B,Hacienda de Tepeyac I,4718,2426,2292,1206,3329,3221,1587,4.6200000000000001,,"Condominio Sevilla, Colli Sitio",Guadalupe Inn,Residencial Moctezuma,,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,100,100,0,0,0,98.69999695,98.5,0,100,"59, 249, 629, Turquesa",-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,92,45053,6,0
155,348-G,Hacienda de Tepeyac II,1850,942,908,658,1112,1089,521,3.54,,Colli Sitio,Colli Poblado,Haciendas Tepeyac I,,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,100,100,0,0,0,99,99.59999847,0,99.80000305,"51-D, 59, 249 y 640",-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,90,45053,6,0
156,106-G,Hacienda la Mora,2099,1034,1065,595,1383,1385,562,4.1900000000000004,,Las Bóvedas,Girasoles,Santa Margarita Residencial,,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,100,8,6,86,0,97.19999695,98.59999847,0,99.40000153,"24, 24-A por Acueducto; 19, 19-A, 51-C por Av. Santa Margarita",-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,96,45138,4,0
157,346-H,Hacienda del Valle,6394,3306,3082,2243,4028,3723,1981,4.1500000000000004,,,,"Mirador de la Cañada, Mirador de San Isidro",,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,100,100,0,0,0,99,99,0,100,,-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,94,45133,3,0
158,0,Haciendas de la Calma,0,0,0,0,0,0,0,0,,Condominio Navío,Rinconada La Calma,Rinconada La Calma,La Calma,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,0,0,0,0,0,0,0,0,0,,-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,0,,6,0
159,108-F,"Haciendita, La",179,87,92,72,85,83,42,4.29,1985,Santa Ana Tepetitlán,,Santa Ana Tepetitlán,Francisco Sarabia Poniente,FALSO,VERDADERO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,100,25,5,30,40,78.90000153,81.59999847,15.80000019,100,"258, 24",-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,98,45230,8,0
160,0,Heroes Nacionales,927,463,464,373,532,484,232,3.71,,Jardines de Nuevo México,Rinconada de San Antonio,,Praderas de San Antonio,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,100,33.29999924,0,33.29999924,33.29999924,90,90,0,100,- Inexistente -,-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,0,45131,4,0
161,312-I,"Higuera, La",2647,1267,1331,1101,1488,1360,724,4.21,,Vista Hermosa,Lomas del Refugio,Barranco,Cerro de la Higuera y Villa de Guadalupe,FALSO,VERDADERO,FALSO,VERDADERO,-Inexistente-,FALSO,FALSO,FALSO,15,0,0,0,100,0,0,0,0,52 - D,-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,0,45189,2B,1
162,109-L,Hogares de Atemajac,521,248,273,177,326,303,105,4.96,,Jardines del Porvenir,Constituyentes,Parques del Auditorio,Jardines de la Esperanza,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,100,0,10,90,0,99,100,0,100,"636-A, por Cantera Morada",-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,92,,2A,1
163,110-E,Hogares,716,359,357,243,430,428,142,5.05,Sin datos,Benito Juárez,Benito Juárez,Benito Juárez,Benito Juárez,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,100,20,0,80,0,92.19999695,98.59999847,0,99.30000305,52,-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,95,45190,2B,0
164,0,Hogares de Nuevo México,3854,1918,1906,1458,2308,2180,1094,3.8700000000000001,,Nuevo México Ejidal,El Tigre,Colinas de los Robles,Villas de Nuevo México,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,100,2,0,96,2,100,100,0,100,635,-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,0,45160,3,0
165,362-G,Hogares del Batán,2038,1027,1009,561,1405,1365,640,4.7199999999999998,,"Canteros, Unidad Auditorio","El Batán, Lomas del Batán",Víctor Hugo,González Ortega,FALSO,VERDADERO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,100,45,0,30,25,0,0,0,0,"13, 50, 52, 275, 350, 636 y 641.",-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,0,45190,1B,1
166,112-B,Hoja Verde,89,46,43,14,71,69,25,3.56,,Seattle Ecológica,Residencial Conjunto Patria,,Residencial Conjunto Patria,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,0,0,0,0,0,96,100,0,100,,-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,93,45150,1B,0
167,0,Huaxtla,97,50,47,25,68,64,24,4.04,,,,,,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,100,17,16,17,50,0,0,0,0,Se desconoce,-Inexistente-,-Inexistente-,"AGENCIA: La Purísima No. 18 A, 
Agente Municipal: Martín Castro Robles, 
Tel celular: 36240733.",-Inexistente-,FALSO,FALSO,FALSO,99,,RN,0
168,113-G,"Huerta, La",601,308,293,108,449,457,163,4.6200000000000001,,Constitución,Gusa,27 de Septiembre,La Huerta,FALSO,FALSO,FALSO,FALSO,"Centro Municipal de la Cultura
Vicente Guerrero # 233  (Instituto de Cultura)	
38182200 ext.3844",FALSO,FALSO,FALSO,100,98,0,2,0,98.69999695,98.69999695,0,100,"30-A, 636 por Salvador González T. E. Ignacio L. Pesquera. 15 por Constituyentes.",-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,90,45180,1B,1
169,0,"Húmedo de Nextipac, El",5416,2738,2678,2024,2847,0,1139,4.7549999999999999,Sin datos,Santa Mónica de los Chorritos,Las Agujas,Santa Lucía,Los Ángeles,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,100,0,0,40,60,0,0,0,80,"13, 275 F (por carretera a Nextipac)",-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,0,45220,RS,0
170,114-K,Indígena de Mezquitán,5874,2996,2873,2005,3619,3521,1420,4.7699999999999996,1946,Lomas del Refugio,Jardines de los Belenes,Barranco,Benito Juárez Norte,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,100,2,0,94,4,93.5,90.59999847,7.300000191,98.30000305,"15, 54 y 52-B.",-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,96,45190,2B,1
171,0,Indígena de San Juan Ocotán,0,0,0,0,0,0,0,0,,San Juan de Ocotan,,,,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,100,60,0,40,0,100,100,0,100,"39-A, 380, 629",-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,0,45019,4,0
172,115-F,Industrial Los Belenes,300,152,148,137,159,146,67,4.48,,San Nicolás de los Belenes,"Villas de los Belenes, Los Paraísos",Constitución,Rinconada La Azálea,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,0,0,0,0,0,91.90000153,97,0,100,"380, 78, 19A",-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,92,45157,1B,0
173,0,Industrial Zapopan Norte,92,49,43,23,65,65,27,4.1699999999999999,,Valle de San Isidro,Desarrollo Industraial Laureles,Plaza San Isidro,Altagracia,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,100,100,0,0,0,100,100,0,100,636 y 634.,-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,0,45130,3,0
175,0,Ixcatán Poblado,1203,626,577,406,722,697,279,4.3399999999999999,Prehispánico,Despoblado,Despoblado,Despoblado,Despoblado,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,100,0,30,70,0,66,96.90000153,0,97.40000153,Ruta Ixcatán (sale de la Normal),-Inexistente-,"Oficialía Nº 13, Morelos Nº 18 (en el edificio de la Delegación), de lunes a viernes de  09:00 a 15:00 hrs., Lic. Fernando Martínez Macias","DELEGACIÓN: Morelos Nº 18 esq. Juárez, Delegado: Alfredo Celis Calvillo, Celular 3310197739, Subdelegada: Luz María Saldaña Hernández.","Cementerio Ixcatan, Prolongación Zaragoza s/n, salida al Rancho La Soledad",FALSO,FALSO,FALSO,99,45200,RN,0
176,116-L,Jacarandas,630,360,270,99,459,514,239,3.0899999999999999,,"Residencial Conjunto Patria, Capullo",Agraria,"Conjunto Patria, Patria Ives, Villas San Jorge y Residencial Patria","San Miguel de la Colina, Zapopan",FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,100,100,0,0,0,95.69999695,96.59999847,0,100,,-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,96,45160,1A,0
177,349-K,Jardines de Santa Ana,804,431,373,193,282,492,180,4.4669999999999996,1986-1988,Santa Ana Tepetitlán,,Santa Ana Tepetitlán,,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,76.91999817,0,7.699999809,7.699999809,84.59999847,87.40000153,95.40000153,0,96.59999847,- Inexistente -,-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,89,45230,8,0
178,117-E,Jardines de San Ignacio,3312,1761,1498,597,2234,2595,1378,4.5300000000000002,,Don Bosco Vallarta,Chapalita Oriente,Municipio de Guadalajara,"Las Flores, Camino Real",FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,100,100,0,0,0,97,98,0,100,"51-A, 51-D, 358 y 646.",-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,96,45040,5A,0
179,118-J,Jardín de Vallarta,475,263,212,176,293,280,116,4.09,,"Jardines Vallarta, Vallarta Universidad, Jardines Universidad",Camichines Vallarta,"Prados Vallarta, Vigusa",Jardines Vallarta,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,100,100,0,0,0,100,100,0,100,,-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,98,,5A,0
180,132-J,Jardines Tapatíos,1734,863,859,624,1067,982,461,3.1800000000000002,,La Noria,Colinas de la Primavera,Carlos Rivera Aceves,Lomas de la Primavera,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,100,20,0,70,10,82,97.5,1.100000024,97.09999847,"101, 51-A y 59-A",-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,94,45065,7,0
181,0,Jardines Tepeyac,472,255,217,113,335,344,195,4.6699999999999999,,,,,,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,0,0,0,0,0,0,0,0,0,,-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,0,45034,5A,0
182,119-D,Jardines del Ixtépete,1060,524,536,295,725,697,289,4.5899999999999999,,El Briseño,El Garabato,El Briseño,Villas Perisur,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,100,40,20,40,0,98.19999695,98.5,0,98.90000153,"624, 626 y 258.",-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,94,45236,8,0
183,0,Jardín Real,6741,3485,3220,2067,4541,4257,2330,2.9700000000000002,,Valle Escondido,Valle Real,Novaterra,Parque Industrial Flextronics,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,0,0,0,0,0,0,0,0,0,,-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,0,45136,4,0
184,0,Jardines de Chapalita,1936,1021,915,588,1280,1228,588,3.4399999999999999,,Rinconada del Parque,Las Cumbres,Rinconada de Guadalupe,Guadalupe Inn,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,0,0,0,0,0,0,0,0,0,,-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,0,45010,5A,0
185,121-K,Jardines de Guadalupe,3733,1971,1762,607,2716,2958,1338,2.5499999999999998,,"La Estancia, Lomas del Seminario y Lomas de Guadalupe","Guadalupe Jardín, Borrego y Chapalita de Occidente",Camino Real,Arcos de Guadalupe,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,100,100,0,0,0,98,98.90000153,0,99.80000305,"51-A, 51-D, 249, 632 y Turqueza.",-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,95,45030,5A,0
186,122-F,Jardines de la Esperanza,1397,715,682,391,979,902,409,2.8100000000000001,,,Jardines de la Esperanza,"Bosque Escondido, Hogares de Atemajac",Geovillas de Tabachines,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,100,100,0,0,0,98.19999695,97.59999847,0,99.40000153,636-A,-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,93,45180,2A,0
